,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
122,3519,20210509,32192,37704,-0.5832201179389224,-0.8642686168073985,29217,34186,-0.5307493288049747,-0.9399986432325398,331.233,375.86,-0.6121134312052959,-0.5546054503410032,217.341,246.623,-0.6121408890529163,-0.5544303181848789
123,3611,20210510,32192,38606,-0.5881676603141078,-0.8491583570234154,29217,35087,-0.4966058850369326,-0.9476720767367444,331.233,380.413,-0.8158271136488294,-0.2992998642658633,217.341,249.61,-0.8158299973971612,-0.299219595765134
124,3669,20210511,32192,39604,-0.43474676517124017,-1.0461219636419332,29217,35993,-0.35031406743739657,-1.139015275984127,331.233,394.226,-0.3512246984087041,-0.6784855561533161,217.341,258.674,-0.35119992690250423,-0.6784381637749703
125,3682,20210512,32192,40329,-0.5179426883339713,-1.140622167775659,29217,36660,-0.4821524360697145,-1.2059968026086865,331.233,401.464,-0.38417163413267497,-0.9536397745802772,217.341,263.423,-0.3841614071078721,-0.953616740524073
126,3344,20210513,32192,40387,-0.7487639185957181,-1.0714764513912494,29217,36705,-0.7297788135064447,-1.1246395152831246,331.233,401.464,-0.7425094153647286,-0.8365854238360226,217.341,263.423,-0.742509812151807,-0.8365601013622599
127,3507,20210514,32192,40397,-0.8935105324458343,-1.0065647550704298,29217,37053,-0.863224004849692,-1.0614325633758757,331.233,405.55,-0.8301713052003014,-0.8560643379919357,217.341,266.104,-0.830176922426748,-0.8560416908966255
128,3306,20210515,32192,40397,-1.5231007496106492,0.9419999388381166,29217,37053,-1.4622528691291734,0.8131741442979123,331.233,405.55,-1.5361683390996512,1.10248326312571,217.341,266.104,-1.5361670045436968,1.1024646022811764
129,1437,20210516,35742,40397,-0.8379870038325231,-0.6717975507434875,32436,37053,-0.7623285019850146,-0.7740585661589456,366.128,405.55,-0.5137219539236956,-0.7155906432394032,240.238,266.104,-0.513692844979804,-0.715705230245796
130,3095,20210517,35742,40397,-0.915517339825987,-0.560507406181447,32436,37442,-0.9489407574351545,-0.6234609904659085,366.128,405.55,-1.051054072133063,-0.007940068620822416,240.238,266.104,-1.0510449126649013,-0.007984184087768575
131,2880,20210518,35742,40397,-0.938972956804841,-0.6233639511770543,32436,37442,-1.0424531827989956,-0.5960885924141324,366.128,409.708,-0.9749496379169994,-0.24143362484971576,240.238,268.833,-0.974919637961855,-0.24148258656971588
132,2570,20210519,35742,40454,-0.9302480977698984,-0.6409439362483149,32436,37574,-1.037778090779376,-0.6380541174419179,366.128,411.48,-0.8778961752017828,-0.463789832615884,240.238,269.996,-0.8778551732079153,-0.46385926039272407
133,2882,20210520,35742,40454,-0.935464504576231,-0.5983807718076819,32436,37574,-1.0718025256690977,-0.6353684422948311,366.128,411.48,-1.1333999905212917,-0.225448232466388,240.238,269.996,-1.133361281234386,-0.22553202283767604
134,3653,20210521,35742,40561,-0.9159747079172454,-0.6251008945063781,32436,37679,-1.0739389429785975,-0.6526137201054185,366.128,412.346,-1.1197398432807173,-0.295917884748115,240.238,270.563,-1.1197352492168748,-0.2959666092276114
135,2244,20210522,35742,40561,-0.9315072968139706,-0.5762550299086429,32436,37679,-1.0581797273192792,-0.7049437011010178,366.128,412.346,-1.1123461679510311,-0.3195969345063707,240.238,270.563,-1.1123319692919071,-0.31967662505795813
136,2285,20210523,34358,40561,-1.243746079060669,0.20027659123291253,32114,37679,-1.1023641854608672,-0.5620396242509367,364.174,412.346,-1.155608678845847,-0.19826400426892077,238.955,270.563,-1.1556223024400207,-0.19826255930743564
137,2797,20210524,34358,40561,-1.390129469769091,0.37659765850946236,32114,37893,-1.0832649563503285,-0.5905488767807077,364.174,412.346,-1.1970754665918169,-0.15525097422152268,238.955,270.563,-1.1970599860782045,-0.1552782909802244
138,2388,20210525,34358,40561,-1.3948461041739826,0.40103076674486804,32114,37893,-1.0835152517800017,-0.590499518382043,364.174,412.346,-1.145348554995913,-0.16754947929473074,238.955,270.563,-1.145318817349973,-0.16758309956718165
139,2523,20210526,34358,40561,-1.3813477094494773,0.43630152078203155,32114,37893,-1.0696272560467284,-0.5854011282180802,364.174,412.346,-1.1647072886961825,-0.0907526299100474,238.955,270.563,-1.1646909528260996,-0.09075474955646534
140,2326,20210527,34358,40561,-1.3484965530234596,0.35703760014539654,32114,38022,-1.0420516587611668,-0.6265356038752743,364.174,413.946,-1.1016375794508722,-0.16942058671895488,238.955,271.613,-1.1016398294153882,-0.16939199649909664
141,4990,20210528,34358,40727,-1.326379907060234,0.32151800567857736,32114,38401,-0.9859411860529642,-0.6863704552168048,364.174,415.176,-1.043421168442185,-0.2381279825205227,238.955,272.421,-1.0433830497414558,-0.23814241383690948
142,3604,20210529,34358,40727,-1.068342929338773,-0.496068437740091,31488,38401,-0.8902007657444874,-1.0889435122007711,364.174,415.176,-0.818560735968564,-1.035025089226278,238.955,272.421,-0.8185268353743224,-1.0350388552760172
143,4077,20210530,32170,40727,-1.364298739819389,0.35604499419379154,28566,38401,-1.059509837756302,-0.618371666507008,332.559,415.176,-1.2970366658168717,0.2221473778041161,218.211,272.421,-1.297010444366519,0.2221045939071118
144,3562,20210531,32170,40727,-1.1298229855523034,0.045969290334185064,28566,38401,-0.6844166412721207,-1.0350454073416424,332.559,415.176,-0.7109965607250973,-0.855030481441243,218.211,272.421,-0.7109799275557241,-0.8550374325034293
145,3989,20210601,32170,40727,-0.935368840009956,-0.04982645332517066,28566,38401,-0.40924719871243775,-1.0771367193891466,332.559,415.176,-0.4143207836983758,-0.9559159960762798,218.211,275.568,-0.6633858309465577,-0.985952110529043
146,3799,20210602,32170,40727,-0.9352100294930475,-0.07361787878349313,28566,38401,-0.3391783604014764,-0.9313490218308695,332.559,415.176,-0.3172780459784625,-0.756668383198329,218.211,284.843,-0.5277832878968258,-1.1259595792206296
