,OR,date,s_min,s_max,s_skew,s_kurt,d_min,d_max,d_skew,d_kurt,i_min,i_max,i_skew,i_kurt,c_min,c_max,c_skew,c_kurt
214,4637,20210805,39869,41033,-0.052550040863506585,-1.499999999999999,35343,35981,0.6415497723146971,-1.4999999999999782,696.712,702.568,0.702574670055863,-1.5000000000000395,385.827,389.07,0.7026045119439213,-1.5000000000000355
215,3438,20210806,38593,40476,-0.40330945181835487,-1.5,33956,35981,-0.417253391747478,-1.499999999999995,678.964,702.568,-0.5308606806441646,-1.4999999999999925,375.998,389.07,-0.5308696737865358,-1.4999999999999998
216,4066,20210807,33128,39869,-0.6074430830374802,-1.5000000000000022,29690,35343,-0.534920306921203,-1.4999999999999973,616.512,696.712,-0.5685407212361915,-1.5000000000000053,341.413,385.827,-0.5685310405685973,-1.4999999999999953
217,4845,20210808,33128,38593,0.5910249873675082,-1.5000000000000022,29690,33956,0.6731055079572625,-1.499999999999999,602.417,678.964,0.6130818726302681,-1.499999999999997,333.608,375.998,0.6130943924156831,-1.5000000000000027
218,4897,20210809,33128,40006,0.6356321677157978,-1.500000000000002,29690,35161,0.6868452651970206,-1.5,602.417,685.278,0.6275538115147887,-1.5000000000000022,333.608,379.495,0.6275660372181382,-1.5
219,5975,20210810,34240,41199,-0.626238506137495,-1.500000000000002,30174,36302,-0.61084979949153,-1.5,602.417,706.92,-0.586627722186798,-1.4999999999999942,333.608,391.48,-0.5866271882924682,-1.4999999999999984
220,5950,20210811,40006,42443,0.025623830256428514,-1.4999999999999998,35161,36468,-0.6640556200399291,-1.5000000000000004,685.278,712.727,-0.5810874909997227,-1.5000000000000224,379.495,394.696,-0.5810761181226962,-1.4999999999999996
221,5481,20210812,41199,42672,-0.6412893316882453,-1.5000000000000098,36302,36722,0.24985709571595321,-1.500000000000014,706.92,717.412,-0.13006171317571447,-1.4999999999999911,391.48,397.29,-0.13020343891967825,-1.5000000000000004
222,5364,20210813,41870,42672,-0.47063737358464103,-1.4999999999999862,36389,36722,0.5466817900680488,-1.5000000000000373,711.145,717.412,0.5243266057805817,-1.5000000000000298,393.82,397.29,0.5243020126248561,-1.4999999999999727
223,3483,20210814,37944,42672,-0.6280226760880192,-1.5000000000000033,32580,36722,-0.6904866308641154,-1.499999999999997,658.12,717.412,-0.6777756861287794,-1.4999999999999925,364.455,397.29,-0.6777856969068776,-1.5000000000000002
224,4420,20210815,34537,41870,0.08641769543638951,-1.4999999999999996,31054,36389,0.46977633183191425,-1.5000000000000002,624.018,711.145,0.258486162290514,-1.4999999999999978,345.57,393.82,0.2585011689100013,-1.5000000000000007
225,4393,20210816,34537,41417,0.011748345317364172,-1.5,31054,36997,0.517674640108011,-1.499999999999998,624.018,714.605,0.2916201896754098,-1.4999999999999998,345.57,395.736,0.29163243107982634,-1.5
226,4364,20210817,34537,42096,-0.6861937804985905,-1.5,31054,37703,-0.677494991555109,-1.4999999999999978,624.018,735.488,-0.6095941358671819,-1.5000000000000038,345.57,407.3,-0.6096050689424495,-1.499999999999998
227,4913,20210818,41137,42096,0.4594314181861169,-1.5,36773,37703,0.5414855813224607,-1.499999999999987,714.605,735.488,-0.3792270638961651,-1.5000000000000193,395.736,407.3,-0.37916116374484865,-1.4999999999999882
228,5119,20210819,41137,42449,-0.49820942335670787,-1.5000000000000004,36773,37703,-0.6179315428868805,-1.499999999999985,721.917,735.488,0.03653023446149322,-1.5000000000000024,399.785,407.3,0.03664892837429889,-1.500000000000002
229,4736,20210820,41137,42449,-0.6984160205285113,-1.5000000000000002,36773,37536,-0.303697619041984,-1.4999999999999898,721.172,728.5,0.6800582169866105,-1.4999999999999376,399.372,403.43,0.6799975767653934,-1.4999999999999438
